Gn,Mean-copy-number,mean,rank,percentile_rank
DPEP2,7.99,7.99,6088.0,31.115199836450984
EIF4EBP1,123.847,123.847,17325.0,88.54645814167434
SLC1A2,358.274,358.27400000000006,18739.0,95.77328017990392
MAGEA11,5.379,5.3790000000000004,4499.0,22.993969130123684
ZNF274,3.576,3.576,3095.0,15.818256158642544
PSG3,21.207,21.207,10556.0,53.950730859654506
ABCC9,1.52,1.52,1234.0,6.306858836757641
DMKN,80.145,80.145,16386.0,83.7473167739957
FTHL17,1.942,1.942,1604.0,8.197894306449964
HNRNPA0,349.073,349.073,18710.0,95.62506388633344
ARHGAP28,3.787,3.787,3261.5,16.66922212000409
GART,157.343,157.343,17726.0,90.59593171828682
GPR34,12.411,12.411,8000.5,40.88980885209036
PEPD,132.594,132.594,17437.0,89.11887968925689
PTER,73.303,73.303,16156.0,82.57180823878156
SEC22A,27.674,27.674000000000003,11989.0,61.274660124706124
SLC39A2,10.517,10.517,7249.0,37.04896248594501
SPINK14,2.798,2.798,2394.0,12.235510579576816
STPG1,2.536,2.536,2170.0,11.090667484411734
ZNF429,1.402,1.402,1139.5,5.823878155984872
CFB,386.915,386.915,18810.0,96.13615455381785
COX4I1,396.907,396.90700000000004,18828.0,96.22815087396505
ALPI,7.214,7.214,5662.0,28.937953592967393
C3orf52,2.345,2.345,1990.5,10.173259736277215
GON4L,13.035,13.035000000000002,8220.0,42.01165286721864
IQSEC2,12.704,12.704,8115.0,41.475007666360014
RNF114,61.27,61.27,15664.0,80.05724215475826
RTL8B,16.438,16.438,9270.0,47.378104875804965
FANCI,24.404,24.404,11330.0,57.906572625983856
TMEM192,49.495,49.495,14970.0,76.51027292241643
OR4K2,25.5,25.5,11562.0,59.092302974547685
PTGER3,5.918,5.918,4866.0,24.869671879791476
ARMCX4,0.157,0.157,237.5,1.2138403352754779
DTNB,20.813,20.813,10448.0,53.398752938771345
MMAB,80.237,80.237,16391.0,83.77287130736993
RPS6KA3,52.619,52.61900000000001,15184.0,77.60400695083308
MARK2,28.187,28.187,12119.0,61.939077992435855
BSCL2,28.952,28.952,12292.0,62.82326484718389
RNF125,5.794,5.794,4769.5,24.376469385669015
CNTN5,2.652,2.652,2264.0,11.571092711847083
ECH1,266.749,266.749,18439.0,94.24000817745069
ADAMTS6,3.782,3.782,3256.5,16.643667586629867
USP17L4,7.134,7.134,5622.5,28.73607277931105
GOLGA6L10,0.921,0.921,738.5,3.7744045793723804
ZNF124,5.765,5.765,4746.0,24.256363078810182
ANP32A,487.534,487.534,18983.0,97.02034140856588
GAPDHS,47.304,47.304,14790.0,75.59030972094449
FOXJ3,6.928,6.928,5511.5,28.168762138403352
NDUFAF8,21.847,21.847,10701.0,54.691812327506895
PCDHGA2,3.782,3.782,3256.5,16.643667586629867
SCRIB,23.687,23.687,11173.0,57.10416027803332
UBE2V2,105.354,105.354,16987.0,86.81897168557701
LRRC8B,11.668,11.668,7725.0,39.481754063170804
MTCP1,7.766,7.766,5962.0,30.471225595420627
FAM47C,1.637,1.637,1340.5,6.85117039762854
PPAN-P2RY11,16.741,16.741,9367.5,47.876418276602266
PPM1L,15.031,15.031,8865.0,45.3081876724931
SERPINB3,237.919,237.919,18291.0,93.48359398957375
GCLM,69.904,69.904,16044.0,81.99938669119902
ESPNL,7.796,7.796,5969.0,30.507001942144534
ANKRD40,131.157,131.157,17419.0,89.02688336910968
KRTAP20-3,1.732,1.732,1428.0,7.2983747316773995
KRTAP5-5,19.681,19.681,10178.0,52.01880813656342
PFDN6,167.555,167.555,17823.0,91.0916896657467
GLG1,56.922,56.922000000000004,15447.0,78.94817540631708
GPR19,3.266,3.266,2802.5,14.32331595625064
CENPBD1,17.284,17.284,9525.0,48.681386077890224
CLSTN2,1.089,1.089,869.0,4.441377900439538
EMC7,114.856,114.856,17191.0,87.86159664724522
PROSER2,28.71,28.709999999999997,12238.0,62.547275886742305
CPE,93.835,93.835,16749.0,85.60257589696411
RTEL1,2.535,2.535,2167.5,11.077890217724624
HYDIN,38.146,38.14600000000001,13856.0,70.8167228866401
PEX19,24.924,24.924,11442.0,58.47899417356639
TRIM16L,11.576,11.576,7684.0,39.2722068895022
TUBGCP2,28.745,28.745,12243.5,62.575385873453946
PSAP,275.752,275.752,18477.0,94.43422263109476
RAPGEF4,4.878,4.878,4136.5,21.141265460492694
MFSD2A,10.865,10.865,7402.5,37.83348666053358
C1GALT1C1,29.435,29.435,12380.5,63.27558008790759
CZIB,190.468,190.468,18006.0,92.02698558724319
FPGT-TNNI3K,8.966,8.966,6593.5,33.69876316058469
LRCH4,34.942,34.942,13408.0,68.52703669630993
OXCT1,240.542,240.542,18309.0,93.57559030972095
SSB,377.641,377.641,18786.0,96.0134927936216
APOA4,878.889,878.889,19313.0,98.70694061126444
